"Time","Distribuído"
2024-10-28 00:02:13,20.00
2024-10-28 00:06:47,20.00
2024-10-28 00:12:01,15.00
2024-10-28 00:12:01,15.00
2024-10-28 00:16:38,15.00
2024-10-28 00:21:10,20.00
2024-10-28 00:26:26,18.00
2024-10-28 00:26:26,18.00
2024-10-28 00:30:59,18.00
2024-10-28 00:35:33,14.40
2024-10-28 00:40:51,14.40
2024-10-28 00:40:51,14.40
2024-10-28 00:45:21,14.40
2024-10-28 00:45:21,14.40
2024-10-28 00:49:56,12.40
2024-10-28 00:55:26,12.40
2024-10-28 00:55:26,12.40
2024-10-28 00:59:52,15.00
2024-10-28 00:59:52,15.00
2024-10-28 01:04:48,15.00
2024-10-28 01:08:55,15.00
2024-10-28 01:08:55,15.00
2024-10-28 01:13:30,10.00
2024-10-28 01:13:30,10.00
2024-10-28 01:18:05,10.00
2024-10-28 01:22:39,10.00
2024-10-28 01:27:52,11.20
2024-10-28 01:27:52,11.20
2024-10-28 01:32:29,11.20
2024-10-28 01:37:04,9.20
2024-10-28 01:42:10,9.20
2024-10-28 01:42:10,9.20
2024-10-28 01:46:45,9.20
2024-10-28 01:51:18,11.60
2024-10-28 01:55:48,11.60
2024-10-28 01:55:48,11.60
2024-10-28 02:00:51,12.00
2024-10-28 02:05:24,12.00
2024-10-28 02:09:56,12.00
2024-10-28 02:09:56,12.00
2024-10-28 02:15:08,12.00
2024-10-28 02:15:08,12.00
2024-10-28 02:19:46,12.00
2024-10-28 02:24:21,11.20
2024-10-28 02:24:21,11.20
2024-10-28 02:29:48,11.20
2024-10-28 02:29:48,11.20
2024-10-28 02:34:36,11.20
2024-10-28 02:39:08,10.20
2024-10-28 02:39:08,10.20
2024-10-28 02:44:17,10.20
2024-10-28 02:44:17,10.20
2024-10-28 02:48:46,10.50
2024-10-28 02:53:18,10.50
2024-10-28 02:58:14,10.50
2024-10-28 02:58:14,10.50
2024-10-28 03:02:50,8.70
2024-10-28 03:02:50,8.70
2024-10-28 03:07:23,8.70
2024-10-28 03:07:23,8.70
2024-10-28 03:12:49,10.00
2024-10-28 03:12:49,10.00
2024-10-28 03:12:49,10.00
2024-10-28 03:17:21,10.00
2024-10-28 03:21:51,10.00
2024-10-28 03:27:09,10.20
2024-10-28 03:27:09,10.20
2024-10-28 03:31:42,10.20
2024-10-28 03:36:05,10.20
2024-10-28 03:41:23,10.20
2024-10-28 03:41:23,10.20
2024-10-28 03:46:00,10.20
2024-10-28 03:50:27,9.40
2024-10-28 03:55:01,9.40
2024-10-28 03:55:01,9.40
2024-10-28 03:59:30,9.40
2024-10-28 03:59:30,9.40
2024-10-28 04:03:57,10.20
2024-10-28 04:08:31,10.20
2024-10-28 04:13:02,11.60
2024-10-28 04:13:02,11.60
2024-10-28 04:17:53,11.60
2024-10-28 04:22:26,11.60
2024-10-28 04:27:00,10.50
2024-10-28 04:27:00,10.50
2024-10-28 04:31:28,10.50
2024-10-28 04:36:01,10.00
2024-10-28 04:40:35,10.00
2024-10-28 04:40:35,10.00
2024-10-28 04:45:12,10.00
2024-10-28 04:45:12,10.00
2024-10-28 04:49:38,10.20
2024-10-28 04:54:10,10.20
2024-10-28 04:54:10,10.20
2024-10-28 04:58:46,10.20
2024-10-28 04:58:46,10.20
2024-10-28 05:03:16,10.20
2024-10-28 05:07:48,10.20
2024-10-28 05:12:37,13.80
2024-10-28 05:12:37,13.80
2024-10-28 05:17:09,13.80
2024-10-28 05:21:34,13.80
2024-10-28 05:26:11,15.60
2024-10-28 05:26:11,15.60
2024-10-28 05:30:42,15.60
2024-10-28 05:35:17,15.60
2024-10-28 05:39:52,15.60
2024-10-28 05:39:52,15.60
2024-10-28 05:44:24,15.60
2024-10-28 05:44:24,15.60
2024-10-28 05:48:59,12.00
2024-10-28 05:53:30,12.00
2024-10-28 05:58:09,12.00
2024-10-28 05:58:09,12.00
2024-10-28 06:02:47,15.60
2024-10-28 06:07:12,20.00
2024-10-28 06:11:41,20.00
2024-10-28 06:11:41,20.00
2024-10-28 06:16:10,24.00
2024-10-28 06:20:38,24.00
2024-10-28 06:25:41,27.70
2024-10-28 06:25:41,27.70
2024-10-28 06:30:16,27.70
2024-10-28 06:30:16,27.70
2024-10-28 06:34:44,27.70
2024-10-28 06:39:10,36.00
2024-10-28 06:39:10,36.00
2024-10-28 06:43:44,36.00
2024-10-28 06:43:44,36.00
2024-10-28 06:48:13,45.00
2024-10-28 06:53:34,45.00
2024-10-28 06:58:51,45.00
