Time,Distribuído,Month,day_of_month,day_of_week,Hour,Minute
2024-01-24 23:15:00,2.8,1,24,2,23,15
2024-01-24 23:30:00,2.0,1,24,2,23,30
2024-01-24 23:45:00,2.4,1,24,2,23,45
2024-01-25 00:00:00,2.0,1,25,3,0,0
2024-01-25 00:15:00,2.0,1,25,3,0,15
2024-01-25 00:30:00,1.6,1,25,3,0,30
2024-01-25 00:45:00,1.6,1,25,3,0,45
2024-01-25 01:00:00,1.6,1,25,3,1,0
2024-01-25 01:15:00,1.6,1,25,3,1,15
2024-01-25 01:30:00,1.2,1,25,3,1,30
2024-01-25 01:45:00,0.8,1,25,3,1,45
2024-01-25 02:00:00,1.2,1,25,3,2,0
2024-01-25 02:15:00,1.2,1,25,3,2,15
2024-01-25 02:30:00,1.2,1,25,3,2,30
2024-01-25 02:45:00,1.2,1,25,3,2,45
2024-01-25 03:00:00,1.2,1,25,3,3,0
2024-01-25 03:15:00,0.8,1,25,3,3,15
2024-01-25 03:30:00,1.2,1,25,3,3,30
2024-01-25 03:45:00,1.2,1,25,3,3,45
2024-01-25 04:00:00,1.2,1,25,3,4,0
2024-01-25 04:15:00,0.8,1,25,3,4,15
2024-01-25 04:30:00,1.2,1,25,3,4,30
2024-01-25 04:45:00,1.2,1,25,3,4,45
2024-01-25 05:00:00,1.2,1,25,3,5,0
2024-01-25 05:15:00,1.2,1,25,3,5,15
2024-01-25 05:30:00,1.2,1,25,3,5,30
2024-01-25 05:45:00,1.6,1,25,3,5,45
2024-01-25 06:00:00,1.6,1,25,3,6,0
2024-01-25 06:15:00,1.6,1,25,3,6,15
2024-01-25 06:30:00,2.0,1,25,3,6,30
2024-01-25 06:45:00,3.2,1,25,3,6,45
2024-01-25 07:00:00,3.2,1,25,3,7,0
2024-01-25 07:15:00,5.6,1,25,3,7,15
2024-01-25 07:30:00,5.2,1,25,3,7,30
2024-01-25 07:45:00,6.0,1,25,3,7,45
2024-01-25 08:00:00,6.8,1,25,3,8,0
2024-01-25 08:15:00,5.6,1,25,3,8,15
2024-01-25 08:30:00,6.0,1,25,3,8,30
2024-01-25 08:45:00,6.8,1,25,3,8,45
2024-01-25 09:00:00,5.6,1,25,3,9,0
2024-01-25 09:15:00,5.2,1,25,3,9,15
2024-01-25 09:30:00,4.8,1,25,3,9,30
2024-01-25 09:45:00,4.8,1,25,3,9,45
2024-01-25 10:00:00,4.0,1,25,3,10,0
2024-01-25 10:15:00,4.8,1,25,3,10,15
2024-01-25 10:30:00,4.4,1,25,3,10,30
2024-01-25 10:45:00,4.4,1,25,3,10,45
2024-01-25 11:00:00,4.0,1,25,3,11,0
2024-01-25 11:15:00,4.4,1,25,3,11,15
2024-01-25 11:30:00,4.0,1,25,3,11,30
2024-01-25 11:45:00,4.0,1,25,3,11,45
2024-01-25 12:00:00,3.6,1,25,3,12,0
2024-01-25 12:15:00,3.2,1,25,3,12,15
2024-01-25 12:30:00,3.2,1,25,3,12,30
2024-01-25 12:45:00,4.0,1,25,3,12,45
2024-01-25 13:00:00,4.0,1,25,3,13,0
2024-01-25 13:15:00,4.4,1,25,3,13,15
2024-01-25 13:30:00,4.4,1,25,3,13,30
2024-01-25 13:45:00,4.8,1,25,3,13,45
2024-01-25 14:00:00,4.4,1,25,3,14,0
2024-01-25 14:15:00,4.0,1,25,3,14,15
2024-01-25 14:30:00,4.4,1,25,3,14,30
2024-01-25 14:45:00,4.0,1,25,3,14,45
2024-01-25 15:00:00,3.6,1,25,3,15,0
2024-01-25 15:15:00,3.2,1,25,3,15,15
2024-01-25 15:30:00,3.2,1,25,3,15,30
2024-01-25 15:45:00,2.4,1,25,3,15,45
2024-01-25 16:00:00,2.4,1,25,3,16,0
2024-01-25 16:15:00,2.8,1,25,3,16,15
2024-01-25 16:30:00,2.8,1,25,3,16,30
